Rep,Run,Shelf,Plate,Line,Trt,Type,end,germ,disease,drop
3,6,2,57,152-1,0,,71.95,0,0,
3,6,2,57,152-1,0,,120.03,5,1,
3,6,2,57,152-1,0,,167.99,7,1,
3,6,2,57,152-1,0,,215.66,7,1,
3,6,2,57,152-1,0,,264.06,8,1,
3,6,2,57,152-1,0,,312.03,8,2,
3,6,2,57,152-1,0,,360.06,8,2,
3,6,2,57,152-1,0,,408.1,8,2,
3,6,2,57,152-1,0,,456.02,8,2,
3,6,2,57,152-1,0,,527.81,8,2,
3,6,2,57,152-1,0,,Inf,8,2,
3,6,2,58,77-1,20,,71.95,0,0,
3,6,2,58,77-1,20,,120.03,3,1,
3,6,2,58,77-1,20,,167.99,9,1,
3,6,2,58,77-1,20,,215.66,9,1,
3,6,2,58,77-1,20,,264.06,9,1,
3,6,2,58,77-1,20,,312.03,9,1,
3,6,2,58,77-1,20,,360.06,9,1,
3,6,2,58,77-1,20,,408.1,9,1,
3,6,2,58,77-1,20,,456.02,9,1,
3,6,2,58,77-1,20,,527.81,9,1,
3,6,2,58,77-1,20,,Inf,9,1,
3,6,2,59,189-1,20,,71.95,0,0,
3,6,2,59,189-1,20,,120.03,0,1,
3,6,2,59,189-1,20,,167.99,3,3,
3,6,2,59,189-1,20,,215.66,6,3,
3,6,2,59,189-1,20,,264.06,6,4,
3,6,2,59,189-1,20,,312.03,7,3,
3,6,2,59,189-1,20,,360.06,7,3,
3,6,2,59,189-1,20,,408.1,7,3,
3,6,2,59,189-1,20,,456.02,7,3,
3,6,2,59,189-1,20,,527.81,7,3,
